cache_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=12258)] cached_content_token_count=12258 candidates_token_count=4564 candidates_tokens_details=None prompt_token_count=13487 prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=13487)] thoughts_token_count=11267 tool_use_prompt_token_count=None tool_use_prompt_tokens_details=None total_token_count=29318 traffic_type=None


**Here's how I'm thinking about this task:**

I've got a mountain of recommendations on penile cancer treatment from five top sources, and my mission is to make sense of it all. My first instinct is to create a well-organized, clean table with key recommendations in three columns.

I'm starting by going through each recommendation one by one. I'm focusing on finding the ones that are saying the same thing, even if the wording is a little different. If I spot duplicates, I'm going to keep the version that's the most clear, specific, or gives the best medical advice. I will be sure to combine sources into a single line. The main point is to have a consolidated list of key recommendations, not a long list of variations on the same theme.

But, I need to be careful. I can't just combine everything. I have to keep separate different types of treatments. So, if they are talking about "organ-sparing surgery", I can't break that down into the individual parts (like circumcision, glansectomy). I should merge if the core idea is the same. I have to see if the recommendations are the same core idea, even if one is general (consider organ-preserving therapy) and another specific (for T1a G2, discuss surveillance). In that case, I'll combine them, making sure the more detailed one is the lead.

I'm structuring the final output with three columns: "Aspect of Care," "Recommendation," and "Sources". And, I'm organizing the recommendations by "Aspect of Care" to make things clear.

I'm breaking things down by "Aspect of Care" to help me think.

**1. Diagnosis and Staging**

*   **Biopsy/Tissue Sampling:** I'm seeing that everyone agrees: get a biopsy if you're not sure it's cancer, or before you start non-surgical treatments. It is important to merge this.
*   **Physical Exam (Primary Tumor):**  A good physical exam is key. I can merge these.
*   **Physical Exam (Lymph Nodes):** I'm keeping the best, most detailed one here, making it clear to perform the physical exam.
*   **Imaging (Primary Tumor):** Imaging is needed if the disease looks deep or if you're thinking about organ-sparing surgery. I'm taking the most detailed advice and making it clear.
*   **Imaging (Metastatic Spread):** It seems everyone wants a CT scan of the chest, abdomen, and pelvis to see if cancer has spread. Some say it's always needed, and others say for more advanced cases, which is more specific. I will combine those specific points into one about the scan.
*   **Specialized Diagnostics:** If it's a superficial, not deep tumor, that fluorescence test is a good option. I can keep this separate.
*   **Lymph Node Staging (cN0):** If there are no obvious lymph nodes, there are different ideas. For the low-risk patients, it's just to watch closely. For intermediate or high-risk cases, they have to do some tests to check the lymph nodes. It makes sense to combine those ideas. There's also the option to just keep an eye out for an intermediate risk, which I will list separately. The details about the different ways to check the lymph nodes, like the DSNB vs ILND and US/FNAC, I will keep as separate points.
*   **Lymph Node Staging (cN+):** If there are lymph nodes that feel suspicious or are found during the imaging, a biopsy is needed to confirm the cancer. If it is cancer confirmed, then I need to do an ILND. I also need to separate out information about performing frozen sectioning to ensure complete removal of disease.

**2. Primary Treatment (General Principles)**

*   **Organ Preservation:** For early cancer that hasn't spread, try to save the penis. That's a key idea from all of the sources.
*   **Surgical Margins:** It's important to get clean margins when removing the tumor, and if you don't, cut some more. 5-10 mm margins are what they recommend. I will keep that in one bullet.
*   **Histological Confirmation Before Treatment:** I want to put this in with the biopsy recommendations.
*   **Shared Decision Making:** The patient needs to understand the choices and be involved in decisions, also about the risks for local recurrence if organ-sparing treatments are chosen. This is very important.

**3. Primary Treatment (Specific Modalities)**

*   **Topical Therapy (5-FU, Imiquimod):** For early cancer, topical medicines can be used. I will combine that. I need to make the important caveats from DGU


**Here's how I'm thinking about this task:**

I've got a mountain of recommendations on penile cancer treatment from five top sources, and my mission is to make sense of it all. My first instinct is to create a well-organized, clean table with key recommendations in three columns.

I'm starting by going through each recommendation one by one. I'm focusing on finding the ones that are saying the same thing, even if the wording is a little different. If I spot duplicates, I'm going to keep the version that's the most clear, specific, or gives the best medical advice. I will be sure to combine sources into a single line. The main point is to have a consolidated list of key recommendations, not a long list of variations on the same theme.

But, I need to be careful. I can't just combine everything. I have to keep separate different types of treatments. So, if they are talking about "organ-sparing surgery", I can't break that down into the individual parts (like circumcision, glansectomy). I should merge if the core idea is the same. I have to see if the recommendations are the same core idea, even if one is general (consider organ-preserving therapy) and another specific (for T1a G2, discuss surveillance). In that case, I'll combine them, making sure the more detailed one is the lead.

I'm structuring the final output with three columns: "Aspect of Care," "Recommendation," and "Sources". And, I'm organizing the recommendations by "Aspect of Care" to make things clear.

I'm breaking things down by "Aspect of Care" to help me think.

**1. Diagnosis and Staging**

*   **Biopsy/Tissue Sampling:** I'm seeing that everyone agrees: get a biopsy if you're not sure it's cancer, or before you start non-surgical treatments. It is important to merge this.
*   **Physical Exam (Primary Tumor):**  A good physical exam is key. I can merge these.
*   **Physical Exam (Lymph Nodes):** I'm keeping the best, most detailed one here, making it clear to perform the physical exam.
*   **Imaging (Primary Tumor):** Imaging is needed if the disease looks deep or if you're thinking about organ-sparing surgery. I'm taking the most detailed advice and making it clear.
*   **Imaging (Metastatic Spread):** It seems everyone wants a CT scan of the chest, abdomen, and pelvis to see if cancer has spread. Some say it's always needed, and others say for more advanced cases, which is more specific. I will combine those specific points into one about the scan.
*   **Specialized Diagnostics:** If it's a superficial, not deep tumor, that fluorescence test is a good option. I can keep this separate.
*   **Lymph Node Staging (cN0):** If there are no obvious lymph nodes, there are different ideas. For the low-risk patients, it's just to watch closely. For intermediate or high-risk cases, they have to do some tests to check the lymph nodes. It makes sense to combine those ideas. There's also the option to just keep an eye out for an intermediate risk, which I will list separately. The details about the different ways to check the lymph nodes, like the DSNB vs ILND and US/FNAC, I will keep as separate points.
*   **Lymph Node Staging (cN+):** If there are lymph nodes that feel suspicious or are found during the imaging, a biopsy is needed to confirm the cancer. If it is cancer confirmed, then I need to do an ILND. I also need to separate out information about performing frozen sectioning to ensure complete removal of disease.

**2. Primary Treatment (General Principles)**

*   **Organ Preservation:** For early cancer that hasn't spread, try to save the penis. That's a key idea from all of the sources.
*   **Surgical Margins:** It's important to get clean margins when removing the tumor, and if you don't, cut some more. 5-10 mm margins are what they recommend. I will keep that in one bullet.
*   **Histological Confirmation Before Treatment:** I want to put this in with the biopsy recommendations.
*   **Shared Decision Making:** The patient needs to understand the choices and be involved in decisions, also about the risks for local recurrence if organ-sparing treatments are chosen. This is very important.

**3. Primary Treatment (Specific Modalities)**

*   **Topical Therapy (5-FU, Imiquimod):** For early cancer, topical medicines can be used. I will combine that. I need to make the important caveats from DGU Based on the provided list of recommendations, the following table presents the deduplicated and unified clinical advice for the treatment of penile cancer.

| Aspect of Care | Recommendation | Sources |
| :--- | :--- | :--- |
| **Diagnosis & Staging** | **Definitive diagnosis must be achieved through tissue sampling/excision.** A pre-treatment biopsy of the primary lesion is required, especially when malignancy is not clinically obvious or when non-surgical treatment (e.g., topical agents, laser, radiotherapy) is planned. | AUA2020; DGU2020; EAU-ASCO2025 |
| **Diagnosis & Staging** | **A thorough physical examination of the primary lesion is required** to assess and record its size, location, morphology, and involvement of adjacent structures like the corporal body or urethra. | AUA2020; ESMO2024 |
| **Diagnosis & Staging** | **A physical examination of both groins must be performed to palpate for lymphadenopathy.** The number, laterality, and characteristics (e.g., mobile, fixed) of any palpable or suspicious inguinal nodes should be recorded. | AUA2020; EAU-ASCO2025 |
| **Diagnosis & Staging** | **Perform magnetic resonance imaging (MRI) or penile ultrasound (US) of the primary tumor** when there is uncertainty regarding corporal invasion (T3) and/or the feasibility of organ-sparing surgery. | AUA2020; EAU-ASCO2025; ESMO2024 |
| **Diagnosis & Staging** | **Computerized tomography (CT) of the chest, abdomen, and pelvis is performed to evaluate for distant metastatic spread.** For high-risk or node-positive disease, ¹⁸F-FDG-PET/CT can also be used. | AUA2020; EAU-ASCO2025; ESMO2024 |
| **Diagnosis & Staging** | Cross-sectional imaging (CT, PET/CT) for primary staging should generally be reserved for T3/T4 tumors or in cases of positive lymph node status. | DGU2020 |
| **Diagnosis & Staging** | For superficial, non-invasive penile carcinomas (Carcinoma in situ), a fluorescence-diagnostic technique can be used to better determine the extent of the lesion. | DGU2020 |
| **Diagnosis & Staging** | **For clinically node-negative (cN0) low-risk tumors (PeIN, pTa, pT1a G1), surveillance of the inguinal lymph nodes is recommended** instead of operative staging. | DGU2020; ESMO2024; NCCN2025 |
| **Diagnosis & Staging** | For clinically node-negative (cN0) intermediate-risk tumors (T1a G2), surveillance may be discussed as an alternative to surgical staging with patients who are willing to comply with strict follow-up. | EAU-ASCO2025 |
| **Diagnosis & Staging** | **For clinically node-negative (cN0) intermediate/high-risk tumors (≥pT1b, or high grade), invasive surgical lymph node staging is recommended.** | DGU2020; EAU-ASCO2025; ESMO2024; NCCN2025 |
| **Diagnosis & Staging** | **The preferred method for surgical staging in cN0 patients is dynamic sentinel node biopsy (DSNB).** If DSNB is unavailable or not feasible, modified inguinal lymph node dissection (ILND) is an alternative. If DSNB is positive, a completion ILND is recommended. | DGU2020; EAU-ASCO2025; ESMO2024; NCCN2025 |
| **Diagnosis & Staging** | If DSNB is planned, perform inguinal ultrasound (US) first, with fine needle aspiration cytology (FNAC) of any sonographically abnormal lymph nodes. | EAU-ASCO2025 |
| **Diagnosis & Staging** | In cN0 patients undergoing staging, frozen section analysis should not be performed on tissue from a modified inguinal lymphadenectomy or DSNB. | DGU2020 |
| **Diagnosis & Staging** | **For clinically node-positive (cN+) disease, an (image-guided) biopsy of the suspicious node is required to confirm metastasis before initiating treatment.** | EAU-ASCO2025; NCCN2025 |
| **Primary Treatment (General Principles)** | **Patients with early-stage, low-grade, and non-invasive tumors should be offered organ- and function-preserving therapy,** depending on the tumor stage and differentiation grade. | AUA2020; DGU2020; EAU-ASCO2025 |
| **Primary Treatment (General Principles)** | **The goal of surgical treatment is complete excision with negative margins (R0).** A margin of 5 mm for G1/G2 tumors and 10 mm for G3 tumors is suggested. In case of a positive surgical margin, a re-excision should be performed. | AUA2020; DGU2020 |
| **Primary Treatment (General Principles)** | **Offer patients a balanced and individualized discussion on the benefits and harms of possible treatment options.** Inform them of the higher risk of local recurrence when using organ-sparing treatments compared to amputative surgery. | EAU-ASCO2025 |
| **Primary Treatment (Topical Therapy)** | **Topical therapy with 5-fluorouracil (5-FU) or imiquimod can be offered to patients with biopsy-confirmed superficial disease (PeIN/Tis, Ta).** Patients should be informed about limited efficacy and potential off-label use. | AUA2020; DGU2020; EAU-ASCO2025; ESMO2024; NCCN2025 |
| **Primary Treatment (Topical Therapy)** | **If topical treatment fails, it should not be repeated.** | DGU2020; EAU-ASCO2025 |
| **Primary Treatment (Topical Therapy)** | Example regimens for topical therapy include: <br> • **Imiquimod 5% cream:** Apply at night three times per week for 4–16 weeks. <br> • **5-FU cream 5%:** Apply twice daily for 2–6 weeks. | NCCN2025 |
| **Primary Treatment (Topical Therapy)** | Topical therapy is ineffective for more advanced stages of penile cancer. | AUA2020 |
| **Primary Treatment (Laser Therapy)** | **Laser ablation (e.g., CO₂ or Nd:YAG laser) can be used for biopsy-confirmed superficial or early-stage tumors (PeIN/Tis, Ta, T1).** | AUA2020; DGU2020; EAU-ASCO2025; ESMO2024; NCCN2025 |
| **Primary Treatment (Laser Therapy)** | A surgical margin of 5 mm is considered oncologically safe for laser therapy. | AUA2020 |
| **Primary Treatment (Post-Therapy Biopsy)** | **After topical or laser therapy, a control biopsy should be performed to verify local tumor control,** especially in cases of clinical doubt. | DGU2020; EAU-ASCO2025; ESMO2024 |
| **Primary Treatment (Surgical)** | **Organ-sparing surgery options (circumcision, wide local excision, glansectomy, Mohs) are offered for lesions confined to the glans and prepuce (PeIN, Ta, T1-T2)** in patients willing to comply with strict follow-up. | EAU-ASCO2025; NCCN2025 |
| **Primary Treatment (Surgical)** | **Intra-operative frozen section analysis of resection margins should be performed** to confirm negative margins, especially in cases of doubt. | EAU-ASCO2025; NCCN2025 |
| **Primary Treatment (Surgical)** | **Circumcision can be a curative treatment for tumors confined to the prepuce (PeIN/Tis, Ta).** | AUA2020; DGU2020; ESMO2024; NCCN2025 |
| **Primary Treatment (Surgical)** | When using radiotherapy or topical therapy for a preputial lesion, a circumcision should be performed first. | DGU2020; NCCN2025 |
| **Primary Treatment (Surgical)** | **Wide local excision (WLE) is an option for early-stage tumors (PeIN, Ta, T1).** Complete excision with wide negative margins is required. | DGU2020; ESMO2024; NCCN2025 |
| **Primary Treatment (Surgical)** | **Mohs micrographic surgery can be considered as an alternative to WLE for select, low-grade, superficial lesions,** particularly on the glans or distal penis, if the appropriate expertise is available. | AUA2020; ESMO2024; NCCN2025 |
| **Primary Treatment (Surgical)** | **Glansectomy (partial or total) or glans resurfacing are options for tumors located on the glans penis (PeIN, Ta, T1-T2).** Reconstruction may be performed with a split-thickness skin graft. | AUA2020; DGU2020; ESMO2024; NCCN2025 |
