cache_tokens_details=None cached_content_token_count=None candidates_token_count=363 candidates_tokens_details=None prompt_token_count=12789 prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=10467), ModalityTokenCount(modality=<MediaModality.DOCUMENT: 'DOCUMENT'>, token_count=2322)] thoughts_token_count=2135 tool_use_prompt_token_count=None tool_use_prompt_tokens_details=None total_token_count=15287 traffic_type=None


**Here's my analysis of the penile cancer paper and the recommendations I've extracted:**

I've carefully read this paper, and my goal was to pinpoint clear treatment recommendations. Since it's a review focused on the accuracy of MRI, the recommendations are primarily about how to use MRI findings to guide treatment decisions. I've broken down each recommendation into its key components: the aspect of care (diagnosis, lymph node management, or primary treatment), the specific clinical scenario (e.g., T-stage, lymph node status), the recommended action, and any crucial clarifications. Here's what I've found, organized as requested:

| Aspect of Care              | Recommendation                                                                                                                                                                                                                                                                                         |
| :-------------------------- | :----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Lymph Node Management       | For patients with ≥T2 disease (even with non-palpable lymph nodes), prophylactic inguinal lymph node dissection or dynamic sentinel node biopsy *may be warranted*.                                                                                                                                   |
| Primary Treatment           | If T3 disease with corpora cavernosa (CC) invasion is diagnosed, organ-sparing approaches are usually precluded, and complete or partial penectomy is warranted, depending on the tumor location.                                                                                                |
| Diagnosis / Staging        | MRI *may be valuable* in the preoperative evaluation of local staging of penile cancer, particularly when organ-sparing options are being considered.                                                                                                                                                  |
| Diagnosis / Staging        | MRI staging *may be considered* for distinguishing ≤T1 from ≥T2 disease; it can be used to routinely complement clinical staging or as an alternative when clinical assessment is equivocal or challenging.                                                                                             |
| Diagnosis / Staging        | MRI staging *is recommended* in all patients for whom organ-sparing surgery is planned, particularly to assess for T3 disease, based on the high specificity of MRI for identifying T3 disease.  This is based on European Association of Urology guidelines.                                                                |
| Diagnosis / Staging (MRI Protocol) | When performing preoperative local staging with MRI, institutions *may choose to omit* artificial erection (via intracavernosal injection of prostaglandin E1), because it adds time, expense, and intervention without providing added value or improved accuracy compared to MRI without artificial erection. |



**Here's my analysis of the penile cancer paper and the recommendations I've extracted:**

I've carefully read this paper, and my goal was to pinpoint clear treatment recommendations. Since it's a review focused on the accuracy of MRI, the recommendations are primarily about how to use MRI findings to guide treatment decisions. I've broken down each recommendation into its key components: the aspect of care (diagnosis, lymph node management, or primary treatment), the specific clinical scenario (e.g., T-stage, lymph node status), the recommended action, and any crucial clarifications. Here's what I've found, organized as requested:

| Aspect of Care              | Recommendation                                                                                                                                                                                                                                                                                         |
| :-------------------------- | :----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Lymph Node Management       | For patients with ≥T2 disease (even with non-palpable lymph nodes), prophylactic inguinal lymph node dissection or dynamic sentinel node biopsy *may be warranted*.                                                                                                                                   |
| Primary Treatment           | If T3 disease with corpora cavernosa (CC) invasion is diagnosed, organ-sparing approaches are usually precluded, and complete or partial penectomy is warranted, depending on the tumor location.                                                                                                |
| Diagnosis / Staging        | MRI *may be valuable* in the preoperative evaluation of local staging of penile cancer, particularly when organ-sparing options are being considered.                                                                                                                                                  |
| Diagnosis / Staging        | MRI staging *may be considered* for distinguishing ≤T1 from ≥T2 disease; it can be used to routinely complement clinical staging or as an alternative when clinical assessment is equivocal or challenging.                                                                                             |
| Diagnosis / Staging        | MRI staging *is recommended* in all patients for whom organ-sparing surgery is planned, particularly to assess for T3 disease, based on the high specificity of MRI for identifying T3 disease.  This is based on European Association of Urology guidelines.                                                                |
| Diagnosis / Staging (MRI Protocol) | When performing preoperative local staging with MRI, institutions *may choose to omit* artificial erection (via intracavernosal injection of prostaglandin E1), because it adds time, expense, and intervention without providing added value or improved accuracy compared to MRI without artificial erection. |
 Based on the provided paper, the following is a comprehensive table of the explicit treatment and diagnostic recommendations discussed.

| Aspect of Care | Recommendation |
| :--- | :--- |
| **Lymph Node Management** | **For patients with ≥T2 disease:** Prophylactic inguinal lymph node dissection or dynamic sentinel node biopsy may be warranted, even in cases with non-palpable lymph nodes. This is in contrast to staged or delayed lymph node dissection. |
| **Primary Treatment** | **For patients with T3 disease (invasion of corpora cavernosa):** Organ-sparing surgical approaches are usually precluded. Complete or partial penectomy is warranted, with the specific choice depending on the tumor's location. |
| **Diagnosis / Staging** | **For preoperative evaluation when organ-sparing surgery is planned:** MRI staging is recommended for all patients in this category to assess for T3 disease. The high specificity of MRI in detecting T3 disease makes it particularly useful for this purpose. |
| **Diagnosis / Staging** | **For distinguishing ≤T1 from ≥T2 disease:** MRI staging may be considered to complement clinical staging, or as an alternative when clinical assessment is equivocal or challenging. |
| **Diagnosis / Staging** | **For routine preoperative evaluation:** MRI may be valuable for the local staging of penile cancer, especially when organ-sparing treatment options are being considered. |
| **Diagnosis / Staging (Imaging Protocol)** | **When performing preoperative local staging MRI:** Institutions may choose to omit artificial erection (induced by intracavernosal injection of prostaglandin E1) from their MRI protocols, as it has been shown to have similar accuracy to MRI without artificial erection and adds extra time, expense, and potential complications. |
