cache_tokens_details=None cached_content_token_count=None candidates_token_count=2320 candidates_tokens_details=None prompt_token_count=87852 prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=71598), ModalityTokenCount(modality=<MediaModality.DOCUMENT: 'DOCUMENT'>, token_count=16254)] thoughts_token_count=3016 tool_use_prompt_token_count=None tool_use_prompt_tokens_details=None total_token_count=93188 traffic_type=None


**Comprehensive Extraction of EAU-ASCO Penile Cancer Guidelines Recommendations**

My analysis of the EAU-ASCO Penile Cancer Guidelines is complete. I've meticulously extracted all explicit treatment recommendations, focusing on both the recommendation tables and the embedded text within the "Disease Management" and "Follow-up and Quality of Life" sections. I've organized the information according to the specified categories and requirements. The resulting table is presented below:

| Aspect of Care                      | Recommendation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| :---------------------------------- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Diagnosis / Staging**            | *   The pathological evaluation *must* include the pTNM (see Chapter 4) stage, assessment of tumour grade, and assessment of p16 by immunohistochemistry.  <br> *   The pathological evaluation *should* follow the ICCR dataset synoptic report.  <br> *   Perform a detailed physical examination, magnetic resonance imaging (MRI), and obtain a pre-treatment biopsy. <br> *   Perform a physical examination of both groins. If there is a palpable/suspicious node... obtain (image-guided) biopsy to confirm nodal metastasis. |
| **Primary Tumour Treatment**      | *   *General Principle:* Offer a balanced and individualised discussion on benefits and harms of available treatments, and inform patients of the higher risk of local recurrence when using organ-sparing treatments.  <br> *   *PeIN:* Offer topical therapy with 5-fluorouracil or imiquimod to biopsy-confirmed PeIN. If topical treatment fails, *it should not be repeated*.  <br> *   *PeIN, Ta, T1:* Offer laser ablation (CO2 or Nd:YAG) to biopsy-confirmed PeIN, Ta, or T1 lesions.  <br> *   *PeIN, Ta, T1-T2:* Offer organ-sparing surgery and reconstructive techniques to patients with lesions confined to the glans and prepuce who are willing to comply with strict follow-up.   <br> *   *T1 or T2:* Offer radiotherapy to selected patients.  <br> *   *T3, or not willing for organ-sparing:* Offer partial penectomy, or total penectomy for large invasive tumours not amenable to partial amputation. <br> *   *Recurrence, not involving corpora cavernosa:* Offer salvage organ-sparing surgery. <br> *   *Large local recurrence or corpora cavernosa involvement:* Offer amputative surgery. <br> *   *Non-resectable advanced or locally advanced-disease patients refusing surgical management:* Offer induction chemotherapy or chemo-radiotherapy.  <br> *   Perform intra-operative frozen section analysis of resection margins in cases of doubt on the completeness of resection.                                                                                                                                                                                                                                                             |
| **Lymph Node Management**          | *   *cN0, high risk (T1b or higher):* Offer surgical LN staging to all patients with high risk of micro-metastatic disease.   <br> *   *cN0, T1a G2:* Discuss surveillance as an alternative to surgery.  <br> *   *cN0:* When surgical staging is indicated, offer dynamic sentinel node biopsy (DSNB). If DSNB is not available, offer inguinal lymph node dissection (ILND).   <br> *   *cN0, DSNB planned:* Perform inguinal US first, with fine needle aspiration cytology (FNAC).  <br> *   *cN+, any stage:* Perform a physical examination of both groins; If there is a palpable/suspicious node, obtain (image-guided) biopsy to confirm nodal metastasis.  <br> *   *cN+:* In cN+ patients, stage the pelvis and exclude distant metastases with 18FDG-PET/CT or CT of the chest and abdomen.   <br> *   *cN1:* Offer either ipsilateral fascial-sparing inguinal lymph node dissection (ILND) OR open radical ILND; sparing the saphenous vein, if possible.   <br> *   *cN2:* Offer ipsilateral open radical ILND; sparing the saphenous vein, if possible.   <br> *   *cN1–2:* Offer minimally-invasive ILND only as part of a clinical trial.   <br> *   *pPLND (pN1-3):* Offer open or minimally-invasive prophylactic ipsilateral pelvic lymphadenectomy if three or more inguinal nodes are involved on one side on pathological examination or extranodal extension is reported. <br> *   *cN3 ( Extensive or Pelvic


**Comprehensive Extraction of EAU-ASCO Penile Cancer Guidelines Recommendations**

My analysis of the EAU-ASCO Penile Cancer Guidelines is complete. I've meticulously extracted all explicit treatment recommendations, focusing on both the recommendation tables and the embedded text within the "Disease Management" and "Follow-up and Quality of Life" sections. I've organized the information according to the specified categories and requirements. The resulting table is presented below:

| Aspect of Care                      | Recommendation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| :---------------------------------- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Diagnosis / Staging**            | *   The pathological evaluation *must* include the pTNM (see Chapter 4) stage, assessment of tumour grade, and assessment of p16 by immunohistochemistry.  <br> *   The pathological evaluation *should* follow the ICCR dataset synoptic report.  <br> *   Perform a detailed physical examination, magnetic resonance imaging (MRI), and obtain a pre-treatment biopsy. <br> *   Perform a physical examination of both groins. If there is a palpable/suspicious node... obtain (image-guided) biopsy to confirm nodal metastasis. |
