Aspect of Care	Recommendation	Sources	AUA2020	DGU2020	EAU-ASCO2025	ESMO2024	NCCN2025
**Diagnosis & Staging**	**Definitive diagnosis must be achieved through tissue sampling/excision.** A pre-treatment biopsy of the primary lesion is required, especially when malignancy is not clinically obvious or when non-surgical treatment (e.g., topical agents, laser, radiotherapy) is planned.	AUA2020; DGU2020; EAU-ASCO2025	"**R (Recommended)**

**Justification:**
The guideline directly supports the recommendation for definitive diagnosis via tissue sampling. Under the ""DIAGNOSIS"" section, the guideline explicitly states, ""Definitive diagnosis is achieved through tissue sampling/excision..."" Furthermore, it reinforces the importance of this step before non-surgical treatment, noting in its conclusion that an ""Accurate pathological diagnosis is necessary before initiating therapy"" with topical agents, laser, or surgery."	"**Stance:** R (Recommended)

**Justification:** The guideline aligns with the treatment recommendation by stating that a histological diagnosis is essential (""unabdinglich"") and that a simple visual diagnosis is insufficient (p. 38). Recommendation 6.1 states that for unclear penile lesions, an early histological diagnosis should be obtained (p. 37). Furthermore, section 4.4.5 emphasizes that a biopsy with a sufficient amount of tissue is required for a reliable diagnosis before initiating definitive therapy (p. 32)."	"**R (Recommended)**

**Justification:**
The guideline strongly supports the treatment recommendation. Section 5.3 explicitly states with a ""Strong"" rating to ""Obtain a pre-treatment biopsy of the primary lesion when malignancy is not clinically obvious, or when non-surgical treatment of the primary lesion is planned (e.g., topical agents, laser, radiotherapy)."" This directly aligns with the recommendation's requirement for a pre-treatment biopsy under the same conditions. Furthermore, Section 5.1.3 reinforces this by stating histological confirmation is necessary to guide management when non-surgical treatments are planned."	"R (Recommended)
The guideline supports the recommendation for tissue biopsy to confirm a diagnosis. In the ""Diagnosis"" section, it explicitly states, ""Incisional or excisional biopsies of suspected penile cancer should be carried out to confirm a histological diagnosis"" (p. 1). This statement directly aligns with the recommendation that a definitive diagnosis must be achieved through tissue sampling or excision prior to treatment."	"**R (Recommended)**

**Justification:**
The NCCN guideline aligns with the recommendation by emphasizing the necessity of a histologic diagnosis. On page PN-1, under ""PRIMARY EVALUATION"" for a suspicious penile lesion, the guideline explicitly lists ""Histologic diagnosis"" to be achieved via ""Punch, excisional, or incisional biopsy."" The discussion section (page MS-5) further reinforces this, stating that a histologic diagnosis via biopsy is ""paramount in determining the treatment algorithm,"" which directly supports the recommendation's stance on mandatory pre-treatment tissue sampling."
**Diagnosis & Staging**	**A thorough physical examination of the primary lesion is required** to assess and record its size, location, morphology, and involvement of adjacent structures like the corporal body or urethra.	AUA2020; ESMO2024	"**R (Recommended)**

**Justification:**
The AUA guideline explicitly supports the recommendation. In the ""DIAGNOSIS"" section, it states, ""Diagnosis begins with a thorough physical examination. The lesion is assessed for size, location and involvement of the corporal body or urethra."" This statement directly aligns with the recommendation's call for a thorough physical examination to assess the lesion's characteristics and involvement of adjacent structures."	"R (Recommended)
The guideline aligns with the treatment recommendation. Specifically, in consensus-based recommendation 6.2 on page 37, the guideline states that the ""Location, size, growth pattern and mobility of the primary tumor should be examined and documented."" This directly corresponds to the recommendation's call to assess and record the lesion's size, location, morphology, and involvement of adjacent structures."	"**R (Recommended)**

**Justification:**
The EAU-ASCO guideline strongly supports the recommendation for a thorough physical examination of the primary lesion. Section 5.1.1 on page 15 explicitly states that ""Physical examination should include inspection and palpation of the entire penis... The dimensions, anatomic location, and extent of local invasion should be noted."" This is further reinforced in the summary recommendations on page 18, which gives a ""Strong"" rating to performing a ""detailed physical examination... recording morphology, size and location of the penile lesion, including extent and invasion of penile (adjacent) structures."""	"R (Recommended)
The guideline strongly supports the treatment recommendation. Under the section ""Assessment of the primary tumour,"" it explicitly states, ""Clinical assessment of the primary tumour should record the size, morphology and relationship to adjacent structures..."" This statement is repeated verbatim in the ""Recommendations"" section, directly aligning with the proposed physical examination to assess and record the lesion's characteristics."	"**Stance:** R (Recommended)

**Justification:** The guideline aligns with the recommendation by emphasizing the importance of a physical examination as part of the initial workup. On page PN-1, under ""PRIMARY EVALUATION,"" the guideline specifies assessing ""Lesion characteristics,"" including ""Diameter, location, number of lesions, morphology... relationship to other structures (submucosal, corpora spongiosa, cavernosa, and/or urethra)."" This is further reinforced in the discussion on page MS-4, which states that a ""good physical examination of the penile lesion(s)"" is ""vital to the initial management"" and lists the same characteristics to be evaluated."
**Diagnosis & Staging**	**A physical examination of both groins must be performed to palpate for lymphadenopathy.** The number, laterality, and characteristics (e.g., mobile, fixed) of any palpable or suspicious inguinal nodes should be recorded.	AUA2020; EAU-ASCO2025	"**R (Recommended)**

**Justification:**
The guideline directly supports the recommendation as a fundamental part of the diagnostic process. In the ""DIAGNOSIS"" section, the guideline explicitly states that ""Inguinal lymph nodes must be palpated for lymphadenopathy."" This aligns perfectly with the recommendation to perform a physical examination of the groins to palpate for and characterize any suspicious nodes."	"R (Recommended)
The guideline aligns with the treatment recommendation. Guideline recommendation 6.4 states that the inguinal lymph node status must be determined and documented through clinical examination. The background information further clarifies that this examination must include a thorough palpation of the groins. It also specifies that for any palpable lymph node swellings, the number, size, and mobility must be recorded for each side, which directly corresponds to the recommendation's call to record the number, laterality, and characteristics of palpable nodes."	"**R (Recommended)**

**Justification:**
The guideline strongly supports the treatment recommendation. Section 5.2.1, ""Physical examination,"" explicitly states, ""Careful palpation of both groins for enlarged/pathologic inguinal LNs must be part of the initial physical examination..."" It further advises that ""...the number, location, size and whether the node is fixed or mobile, should be noted."" This is reiterated in the summary of recommendations on page 18, which gives a ""Strong"" rating to performing a physical examination of both groins and recording the number, laterality, and characteristics of any palpable nodes."	"**Stance:** R (Recommended)

**Justification:** The guideline's entire algorithm for managing inguinal lymph nodes (LNs) is predicated on a clinical assessment to determine if the LNs are palpable. The guideline states that management ""depends on the clinical stage, which is still classified according to whether they are palpable or not"" and subsequently outlines different pathways for impalpable (cN0) versus palpable (cN1-2, cN3) nodes. This aligns directly with the recommendation to perform a physical examination of the groins to palpate for lymphadenopathy and record its characteristics."	"**R (Recommended)**

**Justification:**
The NCCN guideline strongly supports the recommendation. The ""Management of Regional Lymph Nodes"" discussion (MS-9) explicitly states that evaluation of the groin is an ""essential component of the metastatic workup."" It further details that the clinical examination should assess for the exact characteristics mentioned in the recommendation, including ""palpability, number of inguinal masses, unilateral or bilateral localization, dimensions, [and] mobility or fixation of nodes."" This direct alignment confirms that a thorough physical examination of the inguinal nodes is a standard and recommended practice."
**Diagnosis & Staging**	**Perform magnetic resonance imaging (MRI) or penile ultrasound (US) of the primary tumor** when there is uncertainty regarding corporal invasion (T3) and/or the feasibility of organ-sparing surgery.	AUA2020; EAU-ASCO2025; ESMO2024	"**R (Recommended)**

**Justification:**
The guideline supports this recommendation. In the ""DIAGNOSIS"" section, the document states that imaging is often required to determine the extent of tumor invasion. It specifically mentions that Doppler ultrasound is recommended ""to determine whether organ sparing techniques can be performed in potential candidates."" Furthermore, it adds that ""Magnetic resonance imaging...is also used for local staging in cases of organ preserving surgery,"" directly aligning with the recommendation to use these imaging modalities for assessing corporal invasion and the feasibility of organ-sparing approaches."	"R (Recommended)
The guideline supports using imaging to assess tumor infiltration. Section 6.1 (p. 38) states that ultrasound (""Sonographie"") can be useful for evaluating the depth of infiltration. It also identifies MRI (""Magnetresonanztherapie"") as an alternative for this purpose, although it notes that this procedure is often painful and therefore not generally recommended. Furthermore, Recommendation 6.3 (p. 37) aligns by suggesting the use of cross-sectional imaging for T3/T4 tumors, which is consistent with evaluating for corporal invasion."	"R (Recommended)
The guideline directly supports this recommendation. Section 5.3 includes a specific recommendation to ""Perform magnetic resonance imaging (MRI) of the penis/primary tumour... when there is uncertainty regarding corporal invasion and/or the feasibility of (organ-sparing) surgery. If MRI is not available, offer ultrasound (US) as alternative option."" This aligns perfectly with the proposed treatment. The rationale is further detailed in Section 5.1.2, which states that while physical examination is reliable, MRI is helpful for assessing corporal invasion (cT3) and planning organ-sparing surgery."	"R (Recommended)
The guideline supports this recommendation. In the section ""Assessment of the primary tumour,"" it states that when assessing for invasion into the corpus cavernosum, ""Where there is uncertainty, magnetic resonance imaging (MRI) or penile ultrasound (US) combined with an intracavernosal injection of prostaglandin E1... can be helpful to stage the primary lesion."" This is reiterated in the summary recommendations and in the diagnostic algorithm in Figure 1."	"**R (Recommended)**

The NCCN guideline supports the use of magnetic resonance imaging (MRI) or ultrasound for assessing the primary penile tumor. The ""Management of Primary Lesions"" discussion section explicitly states, ""MRI or ultrasound can be used to evaluate the depth of tumor invasion"" (MS-4). This statement directly aligns with the recommendation's purpose of using these imaging modalities to determine the extent of corporal invasion and inform decisions about organ-sparing surgery."
**Diagnosis & Staging**	**Computerized tomography (CT) of the chest, abdomen, and pelvis is performed to evaluate for distant metastatic spread.** For high-risk or node-positive disease, ¹⁸F-FDG-PET/CT can also be used.	AUA2020; EAU-ASCO2025; ESMO2024	"**R (Recommended)**

**Justification:** The guideline supports the recommendation. Under the ""DIAGNOSIS"" section, the guideline states, ""Computerized tomography of the chest, abdomen and pelvis is typically performed to evaluate the spread of cancer to the lymph nodes and more distant locations."" This aligns directly with the recommendation to use CT scans to evaluate for distant metastatic spread."	"R (Recommended)
The guideline recommends using cross-sectional imaging (`Schnittbildverfahren`), which includes CT, to diagnose distant metastases (Section 6.3). It specifies that these methods should only be used for patients with advanced T3/T4 tumors or a positive lymph node status (Recommendation 6.3). This aligns with the treatment recommendation to perform CT of the chest, abdomen, and pelvis and to use ¹⁸F-FDG-PET/CT for high-risk or node-positive disease."	"R (Recommended)
The guideline aligns with the treatment recommendation. In the recommendations table for clinically node-positive (cN+) patients on page 18, it strongly recommends to ""stage the pelvis and exclude distant metastases with ¹⁸F-fluoro-2-deoxy-D-glucose positron emission tomography (¹⁸FDG-PET) computed tomography (CT) or CT of the chest and abdomen before initiating treatment."" This directly supports performing CT or PET/CT to evaluate for distant metastases in node-positive patients, as stated in the recommendation. Section 5.2.3 further elaborates that while such imaging is not for cN0 patients, it is valuable in cN+ patients to exclude distant metastases."	"R (Recommended)
The guideline aligns with the treatment recommendation. Under the section ""Assessment of distant metastases,"" the guideline states that for routine staging and follow-up, ""CT of the chest, abdomen and pelvis is sufficient."" It further specifies that ""MRI or CT fusion PET...can be used in high-risk cases,"" which is consistent with the recommendation's suggestion to use ¹⁸F-FDG-PET/CT for high-risk disease."	"R (Recommended)
The guideline aligns with the recommendation by advising cross-sectional imaging of the chest, abdomen, and pelvis for the initial workup and staging of penile cancer, listing CT as a primary modality (PN-E). Furthermore, it specifically recommends considering FDG-PET/CT for staging in patients with suspected inguinal lymph node-positive disease (PN-E). The discussion section also confirms that PET/CT is best used as a diagnostic modality in patients with clinically node-positive (cN+) penile cancer (MS-9)."
**Diagnosis & Staging**	Cross-sectional imaging (CT, PET/CT) for primary staging should generally be reserved for T3/T4 tumors or in cases of positive lymph node status.	DGU2020	"NA (Not Addressed)

The guideline mentions that computerized tomography is ""typically performed to evaluate the spread of cancer to the lymph nodes and more distant locations."" However, it does not specify the clinical scenarios or tumor stages for which this imaging is indicated. The recommendation provides specific criteria (T3/T4 tumors or positive lymph nodes), which are not discussed in the guideline text."	"R (Recommended)
The guideline aligns with the treatment recommendation. Specifically, consensus-based recommendation 6.3 on page 37 states that for primary staging of penile cancer, cross-sectional imaging and hybrid imaging methods should only be used for T3/T4 tumors or in cases of a positive lymph node status (""nur bei T3/T4 Tumoren oder positivem Lymphknotenstatus eingesetzt werden""). This directly mirrors the proposed recommendation to reserve CT and PET/CT for these specific clinical scenarios."	"**Stance:** R (Recommended)

**Justification:** The EAU-ASCO guideline aligns with the recommendation to reserve cross-sectional imaging for advanced disease. For clinically node-negative (cN0) patients, the guideline states that imaging modalities like CT and PET/CT are of ""limited value and are not recommended for routine use"" (p. 16). In contrast, for clinically node-positive (cN+) patients, it is strongly recommended to ""stage the pelvis and exclude distant metastases with... PET computed tomography (CT) or CT of the chest and abdomen"" (p. 18)."	"DR (Different Recommendation)

The guideline advises that CT of the chest, abdomen, and pelvis is recommended ""in all cases for the assessment of distant metastases [III, A]."" This contrasts with the treatment recommendation, which suggests that such imaging should be reserved for higher-risk patients (T3/T4 tumors or positive lymph node status). Although the guideline does note that MRI or CT fusion PET can be used for high-risk disease, its recommendation for routine CT staging is broader and applies to all patients, not just a select high-risk group."	"**Stance:** DR (Different Recommendation)

**Justification:** The NCCN guideline recommends cross-sectional imaging for a broader range of primary tumors than the recommendation suggests. Specifically, the guideline indicates imaging for patients with intermediate/high-risk lesions, defined as T1b and any T2 or greater tumors (PN-3), whereas the recommendation reserves it for T3/T4 tumors. However, both the guideline and the recommendation align on the use of imaging, including considering PET/CT, for patients with palpable or suspected positive lymph nodes (PN-4, PN-E)."
**Diagnosis & Staging**	For superficial, non-invasive penile carcinomas (Carcinoma in situ), a fluorescence-diagnostic technique can be used to better determine the extent of the lesion.	DGU2020	"DR (Different Recommendation)

The guideline mentions ""fluorescence guidance"" as a technique that ""some have argued for"" to improve laser surgery outcomes but immediately qualifies this by stating, ""more data are required to clearly elucidate the role."" The primary section on diagnosis recommends established methods such as physical examination, Doppler ultrasound, MRI, and CT scans. By presenting fluorescence guidance as an investigational approach lacking sufficient data while detailing other standard diagnostic modalities, the guideline effectively recommends a different, more established approach."	"R (Recommended)
The guideline directly supports the recommendation. Recommendation 7.5 on page 46 explicitly states that for superficial, non-invasive penile carcinomas, a fluorescence-diagnostic technique can be used to better determine the extent of the carcinoma in situ. The background information further details this, mentioning photodynamic diagnostics (PDD) with 5-aminolevulinic acid as an example of such a technique. The guideline assigns an open recommendation grade (""kann"" / ""can""), confirming it is an acceptable option."	"NA (Not Addressed)

**Justification:**
The EAU-ASCO guideline provides recommendations for the treatment of superficial non-invasive disease (PeIN, Ta), including topical therapies, laser ablation, photodynamic therapy, and surgery (Section 6.1.1). For diagnostic evaluation of the primary lesion, it discusses physical examination, MRI, and ultrasound (Section 5.1). However, the guideline does not mention or address the use of a fluorescence-diagnostic technique to better determine the extent of these superficial lesions."	"NA (Not Addressed)

The guideline provides a detailed algorithm for the diagnostic work-up of penile cancer, including clinical assessment, MRI, and ultrasound for staging the primary tumor. For premalignant disease (PeIN or Carcinoma in situ), it discusses management options like circumcision and topical treatments. However, the guideline does not mention or address the use of a fluorescence-diagnostic technique to determine the extent of these lesions."	"**Stance:** NA (Not Addressed)

**Justification:** The NCCN guideline does not mention the use of fluorescence-diagnostic techniques to determine the extent of superficial, non-invasive penile carcinomas (PeIN or CIS). The guideline's recommended methods for initial evaluation include a history and physical exam, lesion characterization, and histologic diagnosis via biopsy (PN-1). For the specific purpose of delineating lesions before laser therapy, the guideline mentions the perioperative application of 3%-5% acetic acid to identify acetowhite areas (PN-A), but this is a different technique. Since the specific modality of fluorescence diagnostics is not discussed, the recommendation is not addressed."
**Diagnosis & Staging**	**For clinically node-negative (cN0) low-risk tumors (PeIN, pTa, pT1a G1), surveillance of the inguinal lymph nodes is recommended** instead of operative staging.	DGU2020; ESMO2024; NCCN2025	"R (Recommended)
The guideline supports the recommendation. It explicitly states that patients with moderately or poorly differentiated tumors (grades 2 and 3) require inguinal node dissection. This implies that low-risk tumors, such as the Grade 1 tumors specified in the recommendation, do not require routine operative staging. This selective approach aligns with the recommendation for surveillance of the inguinal lymph nodes in clinically node-negative, low-risk cases."	"**R (Recommended)**

**Justification:**
The guideline explicitly supports the recommendation for surveillance in low-risk, clinically node-negative patients. Recommendation 7.29 on page 62 states with a strong recommendation grade (A) that clinical surveillance (""Eine klinische Überwachung"") should be performed only for patients with tumor stages pTa and pT1aG1. Additionally, Recommendation 6.6 on page 40 states that operative staging can be omitted in favor of regular clinical follow-up for patients up to category pT1a. This directly matches the proposed treatment recommendation."	"R (Recommended)
The guideline supports the recommendation. On page 17, section 5.2.2.2, it defines low-risk tumors as ""Well-differentiated (G1), pTa, pTis and pT1 tumours without lymphovascular/perineural invasion (pT1a)."" For these patients, the guideline states that ""the risk of metastases is too low to justify surgical staging."" This directly aligns with the recommendation to avoid operative staging and instead perform surveillance for clinically node-negative, low-risk tumors."	"R (Recommended)
The guideline fully supports the treatment recommendation. In the section ""Management of cN0 disease,"" it explicitly states that ""patients with cN0 low-risk disease should be managed with clinical surveillance."" It further reinforces this in the final ""Recommendations"" section, specifying that ""Clinical surveillance of the inguinal nodes is recommended in patients presenting with cN0 tumours with low-risk features (pTa/pTis and pT1G1)."""	"R (Recommended)
The guideline supports the recommendation. The ""Management of Non-Palpable Inguinal Lymph Nodes"" algorithm (PN-3) stratifies patients by risk based on the primary lesion. For the ""Low risk (PeIN, Ta, T1a)"" group, the guideline explicitly recommends ""Surveillance"". The discussion section (MS-15) further clarifies that patients with low-risk disease are followed with a surveillance protocol and that observation alone is sufficient."
**Diagnosis & Staging**	For clinically node-negative (cN0) intermediate-risk tumors (T1a G2), surveillance may be discussed as an alternative to surgical staging with patients who are willing to comply with strict follow-up.	EAU-ASCO2025	"**Stance:** DR (Different Recommendation)

**Justification:**
The treatment recommendation suggests that for intermediate-risk tumors (T1a G2), surveillance may be an alternative to surgical staging of the lymph nodes. However, the AUA guideline document explicitly states a different course of action for this patient group. On page 76, under the ""SURGERY"" section, the guideline specifies that ""close follow-up is critical for patients with moderately or poorly differentiated tumors (grades 2 and 3), as these will require inguinal node dissection."" This indicates a requirement for surgical intervention, directly contradicting the option of surveillance for Grade 2 tumors proposed in the recommendation."	"DR (Different Recommendation)

The guideline explicitly recommends a different management strategy. Guideline recommendation 7.29 states that clinical surveillance for clinically node-negative (cN0) patients should *only* be performed for tumor stages pTa and pT1aG1. The background information on page 63 further clarifies that surveillance for patients with a tumor stage of ≥ pT1G2 (which includes the T1a G2 mentioned in the treatment recommendation) ""soll nicht durchgeführt werden"" (should not be performed). This directly contradicts the proposal to consider surveillance for T1a G2 tumors."	"**R (Recommended)**

**Justification:**
The guideline directly supports the treatment recommendation. In the recommendations table on page 18, under the ""Clinically node-negative (cN0)"" section, it explicitly states: ""In case of T1a G2 disease, also discuss surveillance as an alternative to surgical staging with patients willing to comply with strict follow-up."" The guideline text on page 17 further contextualizes this by identifying pT1a G2 tumors as ""intermediate-risk"" and advising that the decision for surgical staging should balance the risk of metastasis against surgical morbidity on a case-by-case basis."	"DR (Different Recommendation)

The guideline explicitly recommends active treatment for patients with cN0 intermediate-risk disease, stating it is the recommended approach. Specifically, for patients with intermediate-risk disease (defined as pT1G2), the guideline recommends dynamic sentinel lymph node biopsy (DSLNB). In contrast, the treatment recommendation suggests that surveillance may be discussed as an alternative for this same patient group, which differs from the guideline's clear preference for active management."	"**Stance:** R (Recommended)

**Justification:** The NCCN guideline stratifies clinically node-negative patients based on the primary lesion (PN-3). It categorizes T1a tumors as ""low risk"" and explicitly recommends ""Surveillance"" as the appropriate management for this group. Although the treatment recommendation uses the term ""intermediate-risk"" for T1a G2 tumors, the patient population and the recommended approach of surveillance are fully consistent with the NCCN guidelines."
**Diagnosis & Staging**	**For clinically node-negative (cN0) intermediate/high-risk tumors (≥pT1b, or high grade), invasive surgical lymph node staging is recommended.**	DGU2020; EAU-ASCO2025; ESMO2024; NCCN2025	"**R (Recommended)**

The AUA Update Series guideline aligns with the recommendation for invasive surgical lymph node staging in patients with high-risk penile cancer. The guideline specifically states on page 76 that for patients with ""moderately or poorly differentiated tumors (grades 2 and 3),"" which are considered high-risk, they ""will require inguinal node dissection."" This directly supports the recommendation to perform invasive surgical staging for high-grade tumors, even when they are clinically node-negative (cN0)."	"**Stance:** R (Recommended)

**Justification:** The guideline aligns with the treatment recommendation by stating that for clinically node-negative patients with tumors from category pT1b onwards, inguinal lymph nodes ""should be investigated invasively"" (""sollen ... invasiv untersucht werden"") (Recommendation 6.5, page 40). This is a strong recommendation (Grade A) for the same intermediate/high-risk group (≥pT1b) identified in the treatment proposal. The guideline further specifies that invasive staging is recommended for high-grade tumors and stages T1b and higher due to the increased risk of micrometastases, thus fully supporting the proposed approach."	"**Stance:** R (Recommended)

**Justification:**
The guideline strongly supports the recommendation for invasive surgical lymph node staging in patients with clinically node-negative (cN0) high-risk penile cancer. Section 5.2.2.2 explicitly states, ""surgical staging is recommended in all high-risk tumours (T1 with presence of lympho-vascular invasion, peri-neural invasion or poorly differentiated, and T2–T4 with any grade)."" This is further reinforced in the summary recommendations (Section 5.3), which advise to ""offer surgical LN staging to all patients at high risk of having micro-metastatic disease (T1b or higher)."" The guideline's definition of high-risk tumors (T1b or higher) directly aligns with the criteria presented in the treatment recommendation."	"R (Recommended)
The guideline aligns with the recommendation by stratifying clinically node-negative (cN0) patients into low-, intermediate-, and high-risk groups. It states that while low-risk cN0 patients should be managed with surveillance, ""active treatment is recommended for patients with intermediate- and high-risk disease."" The guideline specifically recommends invasive surgical staging via dynamic sentinel lymph node biopsy (DSLNB) for these intermediate- and high-risk cN0 patients."	"R (Recommended)
The guideline supports the recommendation. On page PN-3, under ""MANAGEMENT OF NON-PALPABLE INGUINAL LYMPH NODES,"" patients with non-palpable nodes and intermediate/high-risk primary lesions (defined as T1b or any T2 or greater) are recommended for treatment with either bilateral inguinal lymph node dissection (ILND) or bilateral dynamic sentinel node biopsy (DSNB). Both ILND and DSNB are forms of invasive surgical lymph node staging, which aligns directly with the proposed treatment recommendation. The discussion section (MS-15) further reinforces this, stating that for these patients, a ""modified or radical bilateral inguinal lymphadenectomy is strongly recommended."""
