gemini-2.5-pro
# Task:
    
You are given a list of treatment recommendations for penile cancer. Your task is to identify and remove duplicates — that is, recommendations that convey the same clinical advice or intent, even if worded differently.
However, do not merge or group recommendations that represent distinct treatments, approaches, or clinical decisions, even if they appear under a shared heading or are closely related.

If multiple options are listed under a broader category (e.g., organ-sparing surgery), treat each bullet or treatment modality as a potentially distinct recommendation unless two entries are clearly semantically equivalent.

When removing duplicates, always retain the most comprehensive, specific, or medically precise version. But do not combine multiple unique recommendations into a single, summarized entry.

When in doubt, err on the side of treating treatments as separate unless they are clearly interchangeable.


When duplicates are merged, list all the sources that provided this unified recommendation in the "Sources" column.

If a recommendation is unique (not merged), the "Sources" column should list only the source where it appeared.

If multiple recommendations are merged, the "Sources" column should contain all relevant sources, separated by semicolons.

    
    
    # List of Treatment Recommendations:
    | Source       | Aspect of Care                                                                         | Recommendation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|:-------------|:---------------------------------------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| AUA2020      | **Diagnosis and Staging**                                                              | **Definitive diagnosis must be achieved through tissue sampling/excision.** A thorough physical examination is required to assess lesion size, location, and involvement of the corporal body or urethra.                                                                                                                                                                                                                                                                                                                                                                                                     |
| AUA2020      | **Diagnosis and Staging**                                                              | **Inguinal lymph nodes must be palpated for lymphadenopathy.** Imaging (e.g., CT, MRI, Doppler US) is often required to determine the extent of tumor invasion and assess lymph nodes, as physical examination alone can result in false-negative findings.                                                                                                                                                                                                                                                                                                                                                   |
| AUA2020      | **Diagnosis and Staging**                                                              | **Computerized tomography (CT) of the chest, abdomen, and pelvis is typically performed to evaluate for metastatic spread.** The scan should extend through the mid-thigh to ensure the groin is included in the interpretation.                                                                                                                                                                                                                                                                                                                                                                              |
| AUA2020      | **Primary Treatment (General Principles)**                                             | For **early stage (Tis, Ta, T1), low-grade (G1, G2), low volume disease with favorable histopathology**, organ-preserving techniques should be considered.                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| AUA2020      | **Primary Treatment (General Principles)**                                             | The goal of surgical treatment should be **R0 surgical excision (negative margins).** A 2 cm surgical margin is no longer considered applicable; a 5 mm margin for G1/G2 tumors and a 10 mm margin for G3 tumors is suggested based on histological spread.                                                                                                                                                                                                                                                                                                                                                   |
| AUA2020      | **Primary Treatment (Topical Therapy)**                                                | Topical treatments (e.g., **5-fluorouracil, imiquimod**), cryotherapy, and photodynamic therapy can be considered as **first-line options for non-invasive and early-stage penile malignancies (carcinoma in situ, Ta, T1).**                                                                                                                                                                                                                                                                                                                                                                                 |
| AUA2020      | **Primary Treatment (Topical Therapy)**                                                | **5-fluorouracil (5-FU)** is widely accepted for **early-stage penile condylomas and carcinoma in situ (Tis).**                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| AUA2020      | **Primary Treatment (Topical Therapy)**                                                | Topical therapy is **ineffective for more advanced stages** of penile cancer and should only be prescribed after an early and accurate diagnosis is established.                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| AUA2020      | **Primary Treatment (Laser Therapy)**                                                  | Laser therapy (e.g., **CO2, YAG**) can be used as monotherapy or with local excision for **early-stage (Tis, Ta, T1) non-bulky tumors.**                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
